student,class,popularity,teachPop,extra,female
11,18,4.8,5,5,0
12,18,6.7,6,6,1
13,18,6.7,7,5,0
14,18,6.9,7,4,0
15,18,7.9,7,5,1
16,18,6.6,8,5,0
17,18,6.9,6,6,0
18,18,5.7,6,5,1
19,18,4.4,6,4,1
20,18,5.7,5,3,1
21,18,6,6,5,0
1,19,7.1,8,8,1
2,19,5.4,5,4,0
3,19,6.2,6,5,0
4,19,7.1,7,5,1
5,19,4.4,5,5,0
6,19,3.2,4,3,0
7,19,5.6,5,5,0
8,19,6.2,6,4,1
9,19,4.5,4,5,0
10,19,5.9,6,4,1
11,19,5.9,7,6,1
12,19,3.7,4,4,0
14,19,7.1,6,6,1
15,19,5.6,7,5,1
16,19,5,5,3,0
17,19,5.9,6,5,1
18,19,4.8,5,4,1
19,19,5.7,5,5,0
20,19,6.8,6,3,1
21,19,4,4,4,0
1,20,6,5,5,1
2,20,6.5,6,7,1
3,20,5.9,6,5,1
4,20,5.1,5,4,1
5,20,5.8,5,5,1
6,20,6.9,6,6,1
7,20,7.2,8,8,1
8,20,3.3,5,5,0
9,20,6.6,7,5,1
10,20,2.7,3,4,0
11,20,3.1,3,4,0
12,20,5.7,6,6,1
13,20,5.6,5,7,0
14,20,6.3,5,4,1
15,20,5.9,6,6,1
17,20,2.9,4,5,0
18,20,6.3,5,6,1
19,20,5.7,6,5,1
20,20,6.3,6,6,1
21,20,4.2,5,5,0
1,21,5.4,5,5,1
2,21,5.7,6,5,1
3,21,4.2,5,5,1
4,21,3.5,5,4,1
5,21,4.6,4,7,0
6,21,4.1,4,5,0
7,21,4.2,5,5,0
8,21,4.6,5,4,1
9,21,4,5,6,0
10,21,4.5,4,3,0
11,21,4.9,6,6,1
12,21,5.3,6,6,0
13,21,3.7,4,4,0
14,21,3.8,4,4,0
15,21,5.8,7,5,1
16,21,3.7,2,4,0
17,21,5.4,5,5,0
18,21,6.7,6,4,1
19,21,4.7,4,3,1
20,21,6,6,6,1
21,21,6.3,6,4,1
22,21,5,5,5,1
23,21,5.1,6,6,1
1,22,5.7,6,3,1
2,22,5.8,4,2,1
3,22,7.6,6,6,1
4,22,7.8,7,6,1
5,22,5.4,6,5,0
6,22,5.7,5,4,0
7,22,6.3,5,4,0
8,22,6.7,7,6,1
9,22,7,7,4,1
10,22,5.6,5,5,0
11,22,5.5,4,5,0
12,22,5.4,5,6,0
13,22,6.7,7,6,1
14,22,7.3,8,7,1
15,22,6.1,6,5,0
16,22,6.5,7,5,1
17,22,5.8,6,4,0
18,22,7.1,8,6,1
19,22,5.9,6,5,1
20,22,7,8,7,1
1,23,5,4,6,0
2,23,4.8,6,6,1
3,23,5.9,7,4,1
4,23,4.5,5,5,0
5,23,6.3,7,5,1
6,23,6,5,7,1
7,23,6.4,5,5,1
8,23,3.3,5,4,0
9,23,4.6,4,6,0
10,23,5.6,6,5,0
11,23,4.5,5,5,0
12,23,6.4,6,6,1
13,23,3.8,4,4,0
14,23,6.6,6,6,1
15,23,6.5,6,5,1
16,23,5.6,6,6,0
17,23,5.7,6,5,1
18,23,4.2,4,5,0
19,23,6.7,6,7,1
20,23,3.2,4,3,0
21,23,5.4,6,7,0
22,23,4.7,4,3,0
1,24,3.4,3,5,0
2,24,2.7,2,4,0
3,24,3.8,4,5,1
4,24,3.7,5,5,1
5,24,7.3,6,7,1
6,24,6.6,7,7,1
7,24,3,4,7,0
8,24,5.2,5,6,1
9,24,4.7,4,5,0
10,24,6.2,5,6,1
11,24,4.5,5,7,0
12,24,3.3,3,6,0
13,24,3.9,3,6,0
14,24,3.4,3,5,0
15,24,4.1,5,5,0
16,24,5.3,6,7,1
17,24,5.6,4,5,1
18,24,5.3,6,5,1
19,24,4.5,4,6,0
1,25,5.1,5,4,0
2,25,5.6,6,5,1
3,25,5.6,5,5,1
4,25,5.9,6,4,1
5,25,6.5,6,7,1
6,25,3.7,4,6,0
7,25,3.9,4,5,0
8,25,5.7,5,6,1
9,25,5.7,4,4,1
10,25,5.1,4,5,0
11,25,5.7,6,6,1
12,25,4.6,5,6,0
13,25,7,6,5,1
14,25,4.7,5,4,1
15,25,3.3,4,5,1
16,25,4,4,4,0
17,25,2.9,4,5,0
18,25,3.8,4,5,0
19,25,3.7,3,5,0
20,25,4.3,4,5,0
1,26,4.1,5,5,1
2,26,3.7,4,4,1
3,26,4.1,5,6,0
4,26,4.1,4,4,1
5,26,2.8,3,4,0
6,26,3.2,4,4,1
7,26,6,6,6,1
8,26,3.2,3,5,0
9,26,3.4,2,4,0
10,26,3.2,3,4,0
11,26,4.9,5,6,1
12,26,3.5,4,5,0
13,26,3.9,4,4,1
14,26,3.8,5,6,0
15,26,2.9,4,4,0
16,26,3.6,2,3,1
17,26,6.1,6,7,1
18,26,5.5,6,4,1
19,26,6.2,6,7,0
20,26,2.6,4,5,0
21,26,4.5,5,4,1
1,27,2.5,3,4,0
2,27,6,4,6,0
3,27,3.6,4,6,0
4,27,4.8,5,5,0
5,27,2.9,4,4,0
6,27,6.2,6,7,0
7,27,4,4,5,0
8,27,4.9,5,7,0
9,27,5.4,6,5,1
10,27,4.2,4,5,0
11,27,4.8,5,5,1
12,27,6.4,6,6,1
13,27,3.2,4,5,0
14,27,5.2,5,5,1
15,27,3.4,4,4,1
16,27,4.8,5,5,1
17,27,4.2,4,5,0
18,27,3.2,4,4,0
19,27,4.7,5,6,0
20,27,4.6,4,6,0
1,28,4.9,4,5,0
2,28,4.3,4,3,1
3,28,3.8,3,3,0
4,28,4.1,4,5,0
5,28,5.5,7,6,1
6,28,5,4,6,1
7,28,3.6,4,6,0
8,28,5.4,6,5,1
9,28,6,5,6,1
10,28,4.8,5,5,1
11,28,4.1,6,6,0
12,28,4.2,4,5,0
13,28,5.6,5,6,1
14,28,4.4,5,7,0
15,28,4.8,6,5,1
16,28,3.3,3,6,0
17,28,4.9,6,5,1
18,28,3.4,3,4,0
19,28,3.7,3,3,1
20,28,4.4,4,4,1
1,29,5.9,7,4,1
2,29,3.8,6,4,0
3,29,5.2,5,5,0
4,29,6.1,6,7,0
5,29,5.5,5,4,1
6,29,7.2,6,4,1
7,29,6.2,6,6,0
8,29,7.1,6,5,1
9,29,6,6,4,1
10,29,6,5,5,1
12,29,5.2,5,3,0
13,29,6.6,4,3,0
14,29,5.7,6,5,1
15,29,6.9,7,5,1
16,29,6.6,6,5,1
17,29,5.7,6,3,1
18,29,4.7,5,2,0
1,30,3.3,4,6,0
2,30,2.6,4,5,0
3,30,5.3,3,5,1
4,30,4,3,7,0
5,30,4.7,4,5,1
6,30,5.2,5,6,0
7,30,3.5,4,6,0
8,30,6.5,6,8,1
9,30,3.9,4,5,0
10,30,4.9,4,5,1
11,30,3.6,4,6,0
12,30,4.3,4,5,1
13,30,3.5,4,4,1
14,30,4,4,5,0
15,30,7.1,7,8,1
16,30,6.1,6,6,1
17,30,4.6,5,8,1
1,31,4.9,5,6,0
2,31,5.7,7,6,1
4,31,5.2,5,6,1
5,31,7.3,6,6,1
6,31,3.5,4,5,0
7,31,4,5,5,1
8,31,5.8,6,6,1
9,31,5.8,6,5,1
10,31,4.4,4,5,0
11,31,4.6,5,6,0
12,31,4.2,3,5,0
13,31,1.5,1,3,0
14,31,2.9,2,4,0
15,31,3.2,4,4,0
16,31,1.8,1,4,0
17,31,5.5,5,6,1
18,31,0.4,1,3,0
19,31,5.4,4,6,0
20,31,5.1,4,5,1
1,32,6.2,6,5,1
2,32,5.9,6,6,0
3,32,4.9,5,6,1
4,32,6,7,6,1
5,32,4.9,5,6,0
6,32,3.9,5,4,0
7,32,4.5,4,4,0
8,32,4.6,5,5,1
9,32,2.4,3,3,0
10,32,4.7,4,4,1
11,32,5,6,6,1
12,32,5.8,5,6,0
13,32,6.1,6,5,1
14,32,4.6,4,4,0
15,32,5.2,5,5,1
16,32,4.8,4,5,0
17,32,4,4,5,0
18,32,3.1,2,5,0
19,32,4.8,5,6,0
20,32,7.3,8,6,1
21,32,3.3,3,4,0
22,32,4.2,4,5,1
23,32,6.9,7,6,1
1,33,7.2,7,7,1
2,33,8.7,8,7,1
3,33,5.4,5,7,1
4,33,9.2,8,8,1
5,33,7,7,6,1
6,33,6.4,7,7,1
7,33,9.5,9,8,1
8,33,8.1,7,7,1
9,33,6,7,8,1
10,33,7,8,8,1
11,33,8.1,10,9,1
12,33,7.4,7,6,1
13,33,8.4,8,7,1
14,33,4.7,6,6,1
15,33,7.4,7,7,1
16,33,5.7,5,7,1
17,33,8,8,7,1
18,33,8.8,8,9,1
19,33,6.2,7,6,1
1,34,5.8,4,6,0
2,34,3.8,3,5,0
3,34,8.5,8,8,1
4,34,4.6,5,7,0
5,34,3.9,5,6,0
6,34,3.9,4,5,0
7,34,4.7,4,6,0
8,34,5.6,6,7,0
9,34,3.3,4,4,1
10,34,5.7,5,6,0
11,34,4.1,5,6,0
12,34,4.3,4,4,1
13,34,5.4,5,5,0
14,34,4.8,5,5,0
15,34,3.2,4,3,1
16,34,4.2,4,6,0
17,34,3.9,5,5,0
18,34,6.1,6,7,1
19,34,4.5,5,6,0
20,34,3.8,3,5,0
21,34,6.8,6,6,1
22,34,5,5,5,1
1,35,6,7,4,1
2,35,7.5,7,5,1
3,35,7.9,9,6,1
4,35,7.8,7,4,1
5,35,7.9,7,4,1
6,35,7,8,5,1
7,35,5.5,8,6,1
8,35,7,7,4,1
9,35,6.2,7,4,1
10,35,7,7,7,1
11,35,6.6,6,4,1
12,35,6.8,7,6,1
13,35,6.8,6,3,1
14,35,6.8,9,6,1
15,35,7.4,8,4,1
16,35,7.5,8,5,1
17,35,7.1,8,6,1
18,35,6.7,5,4,1
19,35,7.3,6,5,1
20,35,6.7,7,3,1
1,36,6.3,6,6,1
2,36,3.9,5,4,0
3,36,4,4,5,0
4,36,3.2,4,4,0
5,36,4.2,5,6,0
6,36,5,5,3,1
7,36,5.3,4,3,1
8,36,5.3,6,4,1
9,36,5.7,5,6,0
10,36,5.2,6,4,1
11,36,5,5,3,0
12,36,3.9,5,5,0
13,36,5.4,4,3,1
14,36,7.4,7,4,1
15,36,4.3,5,7,0
16,36,6.7,7,6,1
17,36,4.4,5,5,0
18,36,5.3,4,4,0
19,36,5.3,4,4,0
1,37,4.6,4,5,0
2,37,6.9,5,5,1
3,37,6.4,8,6,1
4,37,6.7,7,6,1
5,37,4.1,4,5,0
6,37,4.6,6,6,0
7,37,5.3,7,7,0
8,37,7.1,7,5,1
9,37,6,5,6,0
10,37,4,2,6,0
11,37,4.9,6,4,1
12,37,4.1,4,4,0
13,37,4.4,5,4,0
14,37,4.8,5,5,0
15,37,4.5,5,5,0
16,37,3.6,4,4,0
17,37,5.7,5,6,0
18,37,6.8,7,7,1
19,37,7.3,7,6,1
1,38,3.5,4,5,0
2,38,3.5,4,5,0
3,38,4.9,5,5,0
4,38,4.8,6,5,1
5,38,5.8,6,5,1
6,38,5.9,5,5,1
7,38,5,4,4,1
8,38,4.3,4,6,0
9,38,4.6,5,4,1
10,38,3.6,3,4,0
11,38,3,2,4,0
12,38,4.5,5,6,0
13,38,3.9,4,4,0
14,38,4.2,5,5,0
15,38,6,6,5,1
16,38,6.5,7,6,1
17,38,3.4,4,5,0
1,39,5.4,5,4,1
2,39,5.6,5,4,1
3,39,3.6,4,4,0
4,39,4.7,4,6,0
5,39,5.7,6,4,1
6,39,4.8,5,4,1
7,39,6.4,7,7,1
8,39,4.9,6,5,1
9,39,5.3,7,5,1
10,39,5.5,5,5,1
11,39,3.9,4,6,0
12,39,5.1,5,5,0
13,39,4.8,4,4,0
14,39,4.6,4,3,1
15,39,5.2,5,4,0
16,39,6,7,6,1
1,40,6.4,8,8,1
2,40,5.1,4,8,1
3,40,7.7,7,9,1
4,40,7.4,6,9,1
5,40,6.8,7,8,1
6,40,6.8,8,10,1
7,40,8.2,8,9,1
8,40,7.6,7,10,1
9,40,7.5,8,9,1
10,40,6.5,6,8,1
11,40,4.3,4,7,1
12,40,7.7,7,10,1
13,40,7.5,7,8,1
14,40,6.5,7,9,1
15,40,8.6,7,10,1
16,40,5.4,4,9,1
17,40,4.5,5,8,1
18,40,3.8,4,6,1
19,40,6.9,6,8,1
20,40,6.6,5,8,1
1,41,5,4,6,1
2,41,3.4,3,3,0
3,41,2.5,1,5,0
4,41,5,6,5,1
5,41,3.8,3,6,0
6,41,3.4,3,5,0
7,41,3,4,5,0
8,41,4.4,4,5,1
9,41,3.6,4,5,1
10,41,4.2,4,4,1
11,41,5.3,5,6,1
12,41,2.9,2,5,0
13,41,2.8,3,5,0
14,41,3.7,4,6,0
15,41,4.2,4,5,1
16,41,3.2,3,4,1
17,41,3.6,3,3,1
18,41,4.1,4,5,1
19,41,3.2,2,4,0
1,42,5.3,6,3,1
2,42,6.6,8,7,0
3,42,4.1,5,5,0
4,42,5.5,4,5,1
5,42,4.8,5,5,0
6,42,4.5,5,4,1
7,42,3.9,5,3,0
8,42,5.9,5,5,1
9,42,5,5,5,1
10,42,7.1,7,7,1
11,42,5.2,5,7,0
12,42,7,7,5,1
13,42,7.3,6,6,1
14,42,4.1,5,3,1
15,42,5.5,5,6,0
16,42,4.9,4,6,0
17,42,7.2,6,6,1
18,42,4.1,5,5,0
19,42,4.4,5,5,1
20,42,5.3,5,4,1
21,42,3.6,4,4,1
1,43,6.7,7,7,0
2,43,4.2,4,5,1
3,43,5.6,5,5,0
4,43,4.7,5,4,1
5,43,5.6,6,6,1
6,43,6.2,6,4,1
7,43,4.7,6,6,0
8,43,5.4,4,5,0
9,43,6.7,6,5,1
10,43,4.8,5,5,0
11,43,5.5,6,5,0
12,43,5.6,5,4,0
13,43,4.3,4,6,0
14,43,5.2,5,5,0
15,43,5.9,5,7,0
16,43,4.5,4,4,0
17,43,5.7,5,6,0
1,44,4.2,4,5,0
2,44,6.7,6,6,1
3,44,6,5,6,1
4,44,6,5,6,1
5,44,4,4,5,0
6,44,5.1,5,5,0
7,44,4.9,4,4,1
8,44,3.9,4,5,0
9,44,4.5,5,6,0
10,44,3.3,3,4,0
11,44,4.3,5,6,0
12,44,6.4,5,8,1
13,44,5.2,4,5,1
14,44,6.2,6,7,1
15,44,5.7,6,7,1
16,44,3.6,4,5,0
17,44,5.1,6,6,0
18,44,5.1,4,5,1
19,44,3.7,3,5,0
1,45,4.3,5,6,0
2,45,7.9,7,6,1
3,45,4.8,5,5,1
4,45,7.7,7,7,1
5,45,6.3,6,6,0
6,45,4.9,5,4,0
7,45,5.2,4,5,0
8,45,7.9,7,3,1
9,45,6.2,6,6,0
10,45,6,7,6,1
11,45,4.8,6,5,0
12,45,6.2,6,5,0
13,45,5.6,5,4,0
14,45,5.1,5,6,0
15,45,4.5,5,4,0
16,45,5.5,5,5,0
17,45,7.1,6,6,1
18,45,4.8,6,5,0
19,45,4.9,5,5,0
1,46,5.5,5,4,1
2,46,5.5,6,4,1
3,46,6.1,7,6,1
4,46,4,3,4,0
5,46,3.5,5,4,0
6,46,3.4,3,4,0
7,46,6.2,6,6,1
8,46,5.1,5,4,1
9,46,3.5,4,4,0
10,46,6.3,5,6,1
11,46,6.1,6,5,1
12,46,5.7,6,6,1
13,46,3.9,5,6,1
14,46,5.6,6,5,1
15,46,3.6,4,4,0
16,46,5.2,5,5,0
17,46,8.4,7,8,1
18,46,3.1,4,3,0
19,46,5.1,5,2,1
20,46,6.5,6,6,1
21,46,4.5,5,3,1
22,46,5.3,5,4,1
23,46,3.7,4,4,0
1,47,5.3,5,4,1
2,47,5.5,5,8,0
3,47,5.8,4,5,1
4,47,3.7,4,5,0
5,47,5.4,5,6,0
6,47,4.9,4,4,1
7,47,4.1,4,5,0
8,47,5.5,6,6,1
9,47,6.1,6,6,1
10,47,3.9,5,4,1
11,47,5.2,6,5,0
12,47,4.4,4,5,1
13,47,4.3,5,5,0
14,47,3,4,5,0
15,47,5.9,6,4,1
16,47,4.4,4,4,1
17,47,5.5,6,7,0
1,48,5.8,6,6,1
2,48,1.8,3,4,0
3,48,5.5,5,7,0
4,48,2.1,3,5,0
5,48,3.6,4,6,0
6,48,1.9,2,6,0
7,48,4.4,5,4,1
8,48,5.1,7,8,1
9,48,2.5,2,4,0
10,48,2.6,3,5,1
11,48,3.6,4,5,0
12,48,3.4,3,5,0
13,48,6.1,6,6,1
14,48,7.4,6,8,1
15,48,5.2,4,7,0
16,48,4.5,5,6,1
17,48,5.3,5,6,1
18,48,4,4,5,0
19,48,4.2,3,5,0
1,49,5.4,5,4,1
2,49,5.7,6,6,1
3,49,3.2,3,4,0
4,49,6.3,7,7,1
5,49,4.2,4,5,1
6,49,4.4,3,5,0
7,49,5,4,5,1
8,49,4.3,4,6,0
9,49,4.2,4,5,0
10,49,4.7,5,5,1
11,49,4.1,5,5,1
12,49,5.4,6,6,1
13,49,5.2,6,6,1
14,49,4.8,3,5,0
15,49,4.9,4,6,1
16,49,4.5,5,5,0
17,49,3.5,3,6,0
18,49,6.9,7,8,1
19,49,5.3,4,4,0
20,49,3.4,4,5,0
1,50,5.2,6,4,0
2,50,6.7,7,6,1
3,50,6.8,7,5,1
4,50,5.6,5,5,0
5,50,5.6,6,6,0
6,50,6.5,6,2,1
7,50,5.1,5,5,0
8,50,7,6,5,0
9,50,6.4,6,7,0
10,50,6.4,6,5,0
11,50,7.4,7,6,1
12,50,5.8,6,5,0
13,50,6.7,6,4,1
14,50,5.3,6,5,0
15,50,5.4,7,5,0
16,50,7.2,6,5,1
17,50,5,5,5,0
18,50,6.3,6,6,1
19,50,7.6,6,5,1
20,50,5.9,7,4,1
1,51,4.2,5,5,0
2,51,4.9,4,4,1
3,51,3.1,3,5,0
4,51,5.1,6,6,1
5,51,5,4,5,1
6,51,5.5,6,4,1
7,51,3.7,5,5,1
8,51,3.2,2,5,0
9,51,5,6,5,1
10,51,4.8,4,5,1
11,51,2.4,3,5,0
12,51,4.1,4,6,0
13,51,2.4,4,3,0
14,51,5.9,5,5,1
15,51,4.3,5,5,1
16,51,4,4,6,0
17,51,5.3,6,5,1
18,51,4.3,4,5,1
19,51,4,3,5,0
20,51,3.9,3,3,0
21,51,6.3,6,5,1
22,51,5.8,6,6,1
23,51,3.9,4,5,0
1,52,6,6,6,1
2,52,4.4,4,3,0
3,52,5.6,5,6,1
4,52,6.1,6,5,1
5,52,5,5,4,1
6,52,2.9,2,4,0
7,52,3.4,5,6,0
8,52,3.2,3,6,0
9,52,4.7,6,5,1
10,52,5.1,5,5,1
11,52,5.4,6,6,1
12,52,4.2,4,5,0
13,52,1.9,2,2,0
14,52,4.4,4,5,0
15,52,4.5,5,5,0
16,52,3.6,4,5,0
